question_id,type,difficulty,topic,question,option_a,option_b,option_c,option_d,correct_option,
202,Risk Management,MCQ,Hard,How does risk transfer reduce financial exposure?,By ignoring losses,By using insurance or hedging,By increasing spending,By avoiding planning,B,
203,Economic Systems,MCQ,Hard,Which economy allows both private business and government intervention?,Command economy,Mixed economy,Market economy,Traditional economy,B,
204,Interest,MCQ,Hard,Why does frequent compounding increase total returns?,Rate decreases,Interest reinvestment grows principal,Principal reduces,Inflation drops,B,
205,Investment,MCQ,Hard,What is the benefit of portfolio diversification?,Reduces total risk,Guarantees profit,Stops inflation,Avoids taxes,A,
206,Inflation,MCQ,Hard,What happens to savings if inflation exceeds interest rates?,Value increases,Value decreases in real terms,No change,Value doubles,B,
207,Global Finance,MCQ,Hard,Why do international trade changes affect local markets?,Only local rules matter,Currency and investor effects,Inflation stops,Population growth,B,
208,Corporate Finance,MCQ,Hard,What is the main goal of corporate finance?,Maximize shareholder wealth,Increase employee salary,Reduce taxes,Avoid investment,A,
209,Financial Regulations,MCQ,Hard,Why are financial regulations important?,To increase spending,To protect investors and maintain market stability,To reduce income,To ignore compliance,B,
210,Entrepreneurship,MCQ,Hard,What is the risk of expanding business too fast without systems?,Higher revenue,Operational failures,Better branding,Faster market entry,B,
211,Financial Planning,MCQ,Hard,Why should long term investments be reviewed periodically?,To increase spending,To ensure alignment with goals,To avoid savings,To reduce taxes,B,
212,Risk Management,MCQ,Hard,How does diversification protect against market risk?,Concentrating assets,Spreading investments across sectors,Ignoring market trends,Investing in cash only,B,
213,Economic Systems,MCQ,Hard,Which economy relies mainly on government for resource allocation?,Market economy,Command economy,Mixed economy,Traditional economy,B,
214,Interest,MCQ,Hard,How does early investing increase wealth due to compound interest?,Rate decreases,Time allows interest to compound multiple times,Principal reduces,Inflation drops,B,
215,Investment,MCQ,Hard,Why should investment risk match an investor's time horizon?,To increase tax,To align returns with goals,To stop inflation,To reduce principal,B,
216,Inflation,MCQ,Hard,If prices rise faster than income over time what happens to real wealth?,Increases,Declines,No change,Doubles,B,
217,Global Finance,MCQ,Hard,Why do foreign exchange rate fluctuations affect import costs?,Local laws only matter,Currency value impacts prices,Inflation stops,Population growth,B,
218,Corporate Finance,MCQ,Hard,Why is capital budgeting important for companies?,To ignore investments,To evaluate profitability of projects,To avoid taxes,To increase spending,B,
219,Financial Regulations,MCQ,Hard,What is the main purpose of financial audits?,Increase income,Ensure accuracy and compliance,Reduce savings,Avoid taxes,B,
220,Entrepreneurship,MCQ,Hard,What is the risk of scaling a business without proper planning?,Higher profits,Operational failure,Stronger brand,Faster market entry,B,
221,Financial Planning,MCQ,Hard,Why should emergency funds cover at least 3 to 6 months of expenses?,To reduce taxes,To handle unexpected events without debt,To invest more,To increase income,B,
222,Risk Management,MCQ,Hard,How does insurance help in risk management?,Guarantees profits,Transfers risk to insurer,Avoids investing,Stops inflation,B,
223,Economic Systems,MCQ,Hard,Which economy combines private ownership and government control?,Market economy,Mixed economy,Command economy,Traditional economy,B,
224,Interest,MCQ,Hard,Why is compound interest more beneficial than simple interest over long periods?,Principal reduces,Interest reinvestment increases returns,Rate decreases,Inflation drops,B,
225,Investment,MCQ,Hard,Why should investors review their portfolio regularly?,To avoid taxes,To rebalance risk and returns,To stop compounding,To ignore market,B,
226,Inflation,MCQ,Hard,How does high inflation affect fixed income earners?,Value of money increases,Purchasing power declines,No effect,Value doubles,B,
227,Global Finance,MCQ,Hard,Why do global economic crises affect local stock markets?,Only local laws matter,Investor sentiment and currency changes,Inflation stops,Population growth,B,
228,Corporate Finance,MCQ,Hard,Why is managing working capital important for a company?,To ignore debts,To ensure smooth operations and liquidity,To increase spending,To reduce taxes,B,
229,Financial Regulations,MCQ,Hard,What is the main purpose of financial consumer protection laws?,Reduce spending,Protect investors and ensure fairness,Increase profits,Avoid taxes,B,
230,Entrepreneurship,MCQ,Hard,What is the risk of ignoring cash flow while growing a business?,Higher revenue,Running out of cash,Stronger brand,Faster expansion,B,
231,Financial Planning,MCQ,Hard,Why should financial goals be specific and measurable?,To increase spending,To track progress effectively,To ignore investments,To avoid planning,B,
232,Risk Management,MCQ,Hard,How does hedging reduce investment risk?,Concentrates assets,Offsets potential losses,Stops inflation,Reduces tax,B,
233,Economic Systems,MCQ,Hard,Which system relies mostly on traditions for resource allocation?,Command economy,Market economy,Mixed economy,Traditional economy,D,
234,Interest,MCQ,Hard,How does reinvesting earned interest increase wealth?,Reduces returns,Increases total returns through compounding,Stops growth,Lowers inflation,B,
235,Investment,MCQ,Hard,What is the risk of investing without understanding time horizon?,Low risk,Mismatched risk and returns,Guaranteed profit,No risk,B,
236,Inflation,MCQ,Hard,What happens if income growth is lower than inflation over time?,Purchasing power increases,Declines,No change,Doubles,B,
237,Global Finance,MCQ,Hard,How does currency depreciation affect imports?,Reduces import cost,Increases import cost,No effect,Improves exports automatically,B,
238,Corporate Finance,MCQ,Hard,Why is debt management important for companies?,To increase taxes,To reduce default risk and interest cost,To ignore shareholders,To increase spending,B,
239,Financial Regulations,MCQ,Hard,Why are anti money laundering laws important?,Increase profits,Prevent illegal financial activities,Reduce taxes,Encourage borrowing,B,
240,Entrepreneurship,MCQ,Hard,What is the risk of launching multiple products at once without resources?,Faster market entry,Resource strain and poor execution,Better branding,Higher revenue,B,
241,Financial Planning,MCQ,Hard,Why should financial plans include retirement savings?,To reduce current income,To ensure funds for future,To increase spending,To avoid investing,B,
242,Risk Management,MCQ,Hard,How does diversification protect against specific sector risks?,By concentrating assets,Spreads investments across sectors,Avoids all risk,Stops interest,B,
243,Economic Systems,MCQ,Hard,Which system allows free price determination by supply and demand?,Command economy,Market economy,Mixed economy,Traditional economy,B,
244,Interest,MCQ,Hard,Why does starting investment early increase compound interest benefits?,Principal reduces,Time allows interest to compound multiple times,Rate decreases,Inflation drops,B,
245,Investment,MCQ,Hard,Why is matching risk tolerance to investment type important?,To reduce taxes,To align risk and returns,To stop inflation,To reduce principal,B,
246,Inflation,MCQ,Hard,How does high inflation affect savers?,Value of savings increases,Real value declines,No effect,Doubles,B,
247,Global Finance,MCQ,Hard,Why do central banks intervene in currency markets?,To increase population,To stabilize currency,To reduce inflation,To stop trade,B,
248,Corporate Finance,MCQ,Hard,Why is capital structure important for a company?,To ignore debts,To balance equity and debt for cost efficiency,To avoid taxes,To increase spending,B,
249,Financial Regulations,MCQ,Hard,What is the purpose of regular financial audits?,Increase profits,Ensure accuracy and compliance,Reduce savings,Avoid taxes,B,
250,Entrepreneurship,MCQ,Hard,What is the main danger of expanding a business too quickly?,Higher revenue,Operational and cash flow problems,Strong brand image,Better market share,B,
251,Personal Finance,MCQ,Hard,Why is tracking monthly income and expenses important?,To increase spending,To manage money and avoid debt,To ignore bills,To reduce taxes,B,
252,Risk Management,MCQ,Hard,How does insurance reduce financial risk?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
253,Economic Systems,MCQ,Hard,Which system allows private business with government rules?,Command economy,Mixed economy,Market economy,Traditional economy,B,
254,Interest,MCQ,Hard,How does reinvesting interest affect total returns over time?,Reduces returns,Increases returns due to compounding,Stops growth,Lowers inflation,B,
255,Loans & Credit,MCQ,Hard,Why is reading loan terms carefully crucial?,To avoid hidden fees and high interest,To increase borrowing,To stop repayments,To reduce paperwork,A,
256,Banking Products,MCQ,Hard,Which account is best for earning regular interest while keeping funds accessible?,Savings account,Fixed deposit,Current account,Credit card,A,
257,Inflation,MCQ,Hard,What happens to purchasing power if income growth is less than inflation?,Increases,Declines,No change,Doubles,B,
258,Global Finance,MCQ,Hard,Why do global financial events affect local stock markets?,Only local laws matter,Investor sentiment and currency changes,Inflation stops,Population growth,B,
259,Corporate Finance,MCQ,Hard,Why is managing working capital crucial for companies?,To ignore debts,To ensure liquidity and smooth operations,To increase spending,To reduce taxes,B,
260,Entrepreneurship,MCQ,Hard,What is the risk of launching a business without market research?,Faster sales,Product failure,Customer loyalty,Increased profits,B,
261,Personal Finance,MCQ,Hard,Why should individuals create a monthly budget?,To spend more,To plan and control expenses,To ignore bills,To reduce income,B,
262,Risk Management,MCQ,Hard,How does having multiple insurance policies reduce risk?,Guarantees profit,Covers different types of risks,Stops inflation,Increases daily income,B,
263,Economic Systems,MCQ,Hard,Which economy relies mostly on traditions and customs?,Market economy,Command economy,Mixed economy,Traditional economy,D,
264,Interest,MCQ,Hard,How does early investment increase compound interest benefits?,Rate decreases,Time allows interest to compound multiple times,Principal reduces,Inflation drops,B,
265,Loans & Credit,MCQ,Hard,What is the risk of taking multiple loans without planning?,Debt accumulation,Lower interest,Faster repayment,No effect,A,
266,Banking Products,MCQ,Hard,Which product is best for short term safe deposits?,Current account,Savings account,Recurring deposit,Credit card,C,
267,Inflation,MCQ,Hard,How does high inflation affect fixed income savers?,Value increases,Value declines,No effect,Doubles,B,
268,Global Finance,MCQ,Hard,Why do currency rate changes affect imports and exports?,Only local laws matter,Currency value impacts trade prices,Inflation stops,Population growth,B,
269,Corporate Finance,MCQ,Hard,Why is capital budgeting important for companies?,To ignore investments,To evaluate project profitability,To avoid taxes,To increase spending,B,
270,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business too quickly without planning?,Higher revenue,Operational failures,Strong brand,Faster expansion,B,
271,Personal Finance,MCQ,Hard,Why is building an emergency fund essential?,To increase spending,To cover unexpected expenses,To reduce income,To avoid saving,B,
272,Risk Management,MCQ,Hard,How does risk diversification reduce losses?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
273,Economic Systems,MCQ,Hard,Which system relies on market forces for resource allocation?,Command economy,Market economy,Mixed economy,Traditional economy,B,
274,Interest,MCQ,Hard,Why does compound interest grow faster over longer durations?,Principal reduces,Interest reinvestment increases total,Rate decreases,Inflation drops,B,
275,Loans & Credit,MCQ,Hard,Why is paying only minimum credit card dues risky?,Lowers total interest,Total interest increases significantly,Loan closes faster,Improves credit score,B,
276,Banking Products,MCQ,Hard,Which account allows limited withdrawals with interest earning?,Savings account,Current account,Fixed deposit,Credit card,C,
277,Inflation,MCQ,Hard,If wages rise slower than prices what happens to standard of living?,Increases,Declines,No change,Doubles,B,
278,Global Finance,MCQ,Hard,How do global financial crises impact local economies?,Only local laws matter,Investor sentiment and market linkage,Inflation stops,Population growth,B,
279,Corporate Finance,MCQ,Hard,Why is debt management important for firms?,To reduce default risk and interest cost,To increase taxes,To ignore shareholders,To increase spending,A,
280,Entrepreneurship,MCQ,Hard,What is the risk of launching multiple products at once without resources?,Faster market entry,Resource strain and poor execution,Better branding,Higher revenue,B,
281,Personal Finance,MCQ,Hard,Why should individuals track both income and expenses monthly?,To spend more,To plan and control money,To ignore bills,To reduce taxes,B,
282,Risk Management,MCQ,Hard,How does insurance protect against unexpected financial losses?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases daily income,B,
283,Economic Systems,MCQ,Hard,Which economy relies on government for most resource allocation?,Market economy,Command economy,Mixed economy,Traditional economy,B,
284,Interest,MCQ,Hard,How does reinvesting interest affect total returns?,Reduces returns,Increases returns through compounding,Stops growth,Lowers inflation,B,
285,Loans & Credit,MCQ,Hard,Why is understanding loan terms crucial before borrowing?,To avoid hidden fees and high interest,To increase borrowing,To stop repayments,To reduce paperwork,A,
286,Banking Products,MCQ,Hard,Which product is suitable for saving small amounts regularly?,Current account,Recurring deposit,Fixed deposit,Credit card,B,
287,Inflation,MCQ,Hard,How does high inflation affect savings in bank accounts?,Value increases,Value declines in real terms,No effect,Value doubles,B,
288,Global Finance,MCQ,Hard,Why do changes in global oil prices affect local economies?,Only local laws matter,Import costs and business expenses change,Inflation stops,Population growth,B,
289,Corporate Finance,MCQ,Hard,Why is cash flow management important for companies?,To ignore debts,To ensure smooth operations and solvency,To increase spending,To reduce taxes,B,
290,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business without proper systems?,Higher revenue,Operational and management failures,Better branding,Faster market entry,B,
291,Personal Finance,MCQ,Hard,Why is setting financial goals important for young adults?,To increase spending,To guide savings and investment,To ignore budgeting,To reduce income,B,
292,Risk Management,MCQ,Hard,How does diversification reduce portfolio risk?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
293,Economic Systems,MCQ,Hard,Which system allows private business and minimal government control?,Command economy,Market economy,Mixed economy,Traditional economy,B,
294,Interest,MCQ,Hard,Why does starting investment early increase compound interest benefit?,Rate decreases,Time allows interest to compound multiple times,Principal reduces,Inflation drops,B,
295,Loans & Credit,MCQ,Hard,What happens if someone borrows more than they can repay?,Lowers interest,Debt accumulation and stress,Guarantees profits,No effect,B,
296,Banking Products,MCQ,Hard,Which account is best for earning fixed interest for a long time?,Savings account,Current account,Fixed deposit,Credit card,C,
297,Inflation,MCQ,Hard,What happens to purchasing power if inflation is higher than income growth?,Increases,Declines,No change,Doubles,B,
298,Global Finance,MCQ,Hard,Why do foreign exchange fluctuations affect multinational companies?,Only local rules matter,Changes in currency value impact profits,Inflation stops,Population growth,B,
299,Corporate Finance,MCQ,Hard,Why is monitoring debt levels important for firms?,To reduce default risk and interest cost,To increase taxes,To ignore shareholders,To increase spending,A,
300,Entrepreneurship,MCQ,Hard,What is the risk of launching a product without market testing?,Faster sales,Product failure,Better branding,Higher revenue,B,
301,Personal Finance,MCQ,Hard,Why is creating a monthly budget essential for individuals?,To spend more,To control money and plan expenses,To ignore bills,To reduce taxes,B,
302,Risk Management,MCQ,Hard,How does having insurance reduce financial risk?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
303,Economic Systems,MCQ,Hard,Which economy relies on traditions for production and allocation?,Market economy,Command economy,Mixed economy,Traditional economy,D,
304,Interest,MCQ,Hard,How does reinvesting interest increase total returns?,Reduces returns,Increases returns due to compounding,Stops growth,Lowers inflation,B,
305,Loans & Credit,MCQ,Hard,Why is understanding loan terms important before borrowing?,To avoid hidden fees and high interest,To increase borrowing,To stop repayments,To reduce paperwork,A,
306,Banking Products,MCQ,Hard,Which banking product is suitable for short term safe deposits?,Current account,Savings account,Fixed deposit,Credit card,C,
307,Inflation,MCQ,Hard,How does high inflation affect fixed income earners?,Value increases,Real value declines,No effect,Value doubles,B,
308,Financial Technology,MCQ,Hard,How does digital payment technology improve financial transactions?,Slows payments,Makes payments faster and safer,Reduces spending,Stops inflation,B,
309,Stock Market,MCQ,Hard,Why is diversification important in stock investing?,Concentrates assets,Reduces risk across multiple stocks,Guarantees profit,Avoids taxes,B,
310,Entrepreneurship,MCQ,Hard,What is the risk of launching a business without market research?,Faster sales,Product failure,Customer loyalty,Increased profits,B,
311,Personal Finance,MCQ,Hard,Why is tracking monthly income and expenses important?,To spend more,To manage money and avoid debt,To ignore bills,To reduce taxes,B,
312,Risk Management,MCQ,Hard,How does an emergency fund reduce financial risk?,Guarantees profit,Covers unexpected expenses without debt,Stops inflation,Increases income,B,
313,Economic Systems,MCQ,Hard,Which system allows both private ownership and government regulation?,Command economy,Mixed economy,Market economy,Traditional economy,B,
314,Interest,MCQ,Hard,How does compound interest grow faster over longer durations?,Principal reduces,Interest reinvestment increases total,Rate decreases,Inflation drops,B,
315,Loans & Credit,MCQ,Hard,Why is paying only minimum credit card dues risky?,Lowers total interest,Total interest increases significantly,Loan closes faster,Improves credit score,B,
316,Banking Products,MCQ,Hard,Which account allows limited withdrawals with interest earning?,Savings account,Current account,Fixed deposit,Credit card,C,
317,Inflation,MCQ,Hard,If prices rise faster than income what happens to purchasing power?,Increases,Declines,No change,Doubles,B,
318,Financial Technology,MCQ,Hard,How do digital wallets make transactions safer?,Sharing passwords,Using encrypted systems and authentication,Ignoring alerts,Using weak networks,B,
319,Stock Market,MCQ,Hard,Why should investors monitor company financial reports?,To ignore market,To make informed investment decisions,To stop compounding,To reduce taxes,B,
320,Entrepreneurship,MCQ,Hard,What is the risk of scaling a business too fast without planning?,Higher profits,Operational failure,Stronger brand,Faster expansion,B,
321,Personal Finance,MCQ,Hard,Why is building an emergency fund essential?,To increase spending,To cover unexpected expenses,To reduce income,To avoid saving,B,
322,Risk Management,MCQ,Hard,How does diversification reduce portfolio risk?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
323,Economic Systems,MCQ,Hard,Which system relies mainly on market forces?,Command economy,Market economy,Mixed economy,Traditional economy,B,
324,Interest,MCQ,Hard,Why does starting investment early increase wealth?,Rate decreases,Time allows interest to compound multiple times,Principal reduces,Inflation drops,B,
325,Loans & Credit,MCQ,Hard,What happens if someone borrows more than they can repay?,Lowers interest,Debt accumulation and stress,Guarantees profits,No effect,B,
326,Banking Products,MCQ,Hard,Which product is suitable for saving small amounts regularly?,Current account,Recurring deposit,Fixed deposit,Credit card,B,
327,Inflation,MCQ,Hard,How does persistent high inflation affect savers?,Value of savings increases,Real value declines,No effect,Doubles,B,
328,Financial Technology,MCQ,Hard,Why is online banking considered convenient?,It requires physical presence,Transactions can be done anytime and anywhere,Only cash transactions allowed,It slows payments,B,
329,Stock Market,MCQ,Hard,Why is investing in multiple sectors recommended?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
330,Entrepreneurship,MCQ,Hard,What is the main danger of launching a business without a budget?,Higher revenue,Running out of cash,Strong brand,Faster market entry,B,
331,Personal Finance,MCQ,Hard,Why is monitoring monthly expenses important?,To spend more,To identify wasteful spending,To ignore bills,To reduce taxes,B,
332,Risk Management,MCQ,Hard,How does having insurance reduce financial uncertainty?,Guarantees profit,Transfers risk to insurer,Stops inflation,Increases income,B,
333,Economic Systems,MCQ,Hard,Which system relies mainly on government for economic decisions?,Market economy,Command economy,Mixed economy,Traditional economy,B,
334,Interest,MCQ,Hard,How does reinvesting interest increase total returns?,Reduces returns,Increases returns through compounding,Stops growth,Lowers inflation,B,
335,Loans & Credit,MCQ,Hard,Why should loan interest rates be compared before borrowing?,To reduce total repayment,To increase borrowing,To stop repayments,To reduce paperwork,A,
336,Banking Products,MCQ,Hard,Which account provides safe storage with regular interest?,Current account,Savings account,Fixed deposit,Credit card,B,
337,Inflation,MCQ,Hard,What happens if inflation rises faster than wages?,Purchasing power increases,Declines,No change,Doubles,B,
338,Financial Technology,MCQ,Hard,How do fintech apps improve financial management?,Slow payments,Track expenses and payments easily,Require cash only,Increase paperwork,B,
339,Stock Market,MCQ,Hard,Why is understanding company fundamentals important for investors?,To ignore market,To make informed decisions,To stop compounding,To reduce taxes,B,
340,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business without planning resources?,Higher profits,Operational failure,Strong brand,Faster expansion,B,
341,Personal Finance,MCQ,Hard,Why should young adults save a portion of income regularly?,To increase spending,To build financial security,To ignore budgeting,To reduce income,B,
342,Risk Management,MCQ,Hard,How does diversification reduce investment risk?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
343,Economic Systems,MCQ,Hard,Which economy relies mostly on private ownership and free markets?,Command economy,Market economy,Mixed economy,Traditional economy,B,
344,Interest,MCQ,Hard,Why does starting investment early help grow wealth faster?,Principal reduces,Time allows interest to compound multiple times,Rate decreases,Inflation drops,B,
345,Loans & Credit,MCQ,Hard,What is the danger of borrowing more than can be repaid?,Lowers interest,Debt accumulation and stress,Guarantees profit,No effect,B,
346,Banking Products,MCQ,Hard,Which account is best for recurring monthly savings?,Current account,Recurring deposit,Fixed deposit,Credit card,B,
347,Inflation,MCQ,Hard,How does persistent inflation affect money saved in banks?,Value increases,Real value declines,No effect,Doubles,B,
348,Financial Technology,MCQ,Hard,Why is mobile banking considered secure?,Requires cash,Uses encryption and authentication,No verification,Slows transactions,B,
349,Stock Market,MCQ,Hard,Why is it important to diversify stock investments?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
350,Entrepreneurship,MCQ,Hard,What is the risk of starting multiple products without resources?,Faster market entry,Poor execution and failure,Better branding,Higher revenue,B,
351,Personal Finance,MCQ,Hard,Why is setting aside a monthly saving portion important?,To spend more,To build financial security,To ignore budgeting,To reduce income,B,
352,Risk Management,MCQ,Hard,How does insurance protect against unexpected financial losses?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases daily income,B,
353,Interest,MCQ,Hard,How does compound interest benefit long term investments?,Principal reduces,Interest reinvestment grows wealth,Rate decreases,Inflation drops,B,
354,Loans & Credit,MCQ,Hard,Why is reading loan terms carefully crucial?,To avoid hidden fees and high interest,To increase borrowing,To stop repayments,To reduce paperwork,A,
355,Inflation,MCQ,Hard,What happens if inflation rises faster than income?,Purchasing power increases,Declines,No change,Doubles,B,
356,Financial Technology,MCQ,Hard,How do digital payment systems reduce transaction risk?,Slows payments,Secure authentication and tracking,Increases errors,Requires cash only,B,
357,Stock Market,MCQ,Hard,Why should investors diversify across sectors?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
358,Entrepreneurship,MCQ,Hard,What is the main risk of expanding business too fast?,Higher revenue,Operational and cash flow failures,Strong brand,Faster market entry,B,
359,Personal Finance,MCQ,Hard,Why is tracking monthly income and expenses critical?,To spend more,To manage money and avoid debt,To ignore bills,To reduce taxes,B,
360,Risk Management,MCQ,Hard,How does risk transfer reduce financial exposure?,By ignoring losses,Using insurance or hedging,Increasing spending,Avoiding planning,B,
361,Retirement Planning,MCQ,Hard,Why should individuals start retirement planning early?,To spend all money,To accumulate funds for future,To ignore savings,To reduce taxes,B,
362,Bonds,MCQ,Hard,What is the main benefit of investing in government bonds?,High risk,Fixed returns and safety,Unlimited returns,Stop inflation,B,
363,Interest,MCQ,Hard,Why does reinvesting interest increase wealth over time?,Reduces returns,Compounding grows total returns,Stops growth,Lowers inflation,B,
364,Loans & Credit,MCQ,Hard,What is the risk of taking multiple loans simultaneously?,Debt accumulation and stress,Lower interest,Faster repayment,No effect,A,
365,Inflation,MCQ,Hard,How does persistent inflation affect savings in bank accounts?,Value increases,Real value declines,No effect,Doubles,B,
366,Financial Technology,MCQ,Hard,Why is mobile banking considered convenient?,Requires physical presence,Transactions can be done anytime and anywhere,Only cash transactions allowed,Slows payments,B,
367,Stock Market,MCQ,Hard,Why is monitoring stock performance important for investors?,To ignore market,To make informed decisions,To stop compounding,To reduce taxes,B,
368,Entrepreneurship,MCQ,Hard,What is the risk of launching multiple products without resources?,Faster market entry,Resource strain and poor execution,Better branding,Higher revenue,B,
369,Retirement Planning,MCQ,Hard,How does starting retirement savings early benefit an individual?,Lower interest,More time for compounding growth,Reduces taxes,Avoids expenses,B,
370,Bonds,MCQ,Hard,Why are corporate bonds riskier than government bonds?,Guaranteed return,Higher default risk,No risk,Stop inflation,B,
371,Personal Finance,MCQ,Hard,Why should individuals set financial goals?,To spend more,To plan savings and investments,To ignore budgeting,To reduce income,B,
372,Risk Management,MCQ,Hard,How does insurance reduce financial exposure?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
373,Interest,MCQ,Hard,How does starting investment early increase compound interest benefits?,Rate decreases,Time allows interest to compound multiple times,Principal reduces,Inflation drops,B,
374,Loans & Credit,MCQ,Hard,Why is paying only minimum credit card dues risky?,Lowers total interest,Total interest increases significantly,Loan closes faster,Improves credit score,B,
375,Inflation,MCQ,Hard,How does high inflation affect purchasing power?,Increases,Declines,No change,Doubles,B,
376,Financial Technology,MCQ,Hard,How do fintech apps improve financial tracking?,Slow payments,Allow easy monitoring of spending,Require cash only,Increase paperwork,B,
377,Stock Market,MCQ,Hard,Why is it important to diversify stock holdings?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
378,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business without planning?,Higher revenue,Operational failure,Strong brand,Faster market entry,B,
379,Personal Finance,MCQ,Hard,Why is an emergency fund important?,To increase spending,To cover unexpected expenses,To reduce income,To avoid saving,B,
380,Risk Management,MCQ,Hard,How does diversification protect investments?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
381,Retirement Planning,MCQ,Hard,Why should retirement savings start early?,To spend all money,To accumulate funds for future,To ignore savings,To reduce taxes,B,
382,Bonds,MCQ,Hard,Why are government bonds considered safe?,High risk,Fixed returns and safety,Unlimited returns,Stop inflation,B,
383,Interest,MCQ,Hard,Why does reinvesting interest increase wealth over time?,Reduces returns,Compounding grows total returns,Stops growth,Lowers inflation,B,
384,Loans & Credit,MCQ,Hard,What happens if someone borrows more than they can repay?,Lowers interest,Debt accumulation and stress,Guarantees profit,No effect,B,
385,Inflation,MCQ,Hard,How does persistent inflation affect bank savings?,Value increases,Real value declines,No effect,Doubles,B,
386,Financial Technology,MCQ,Hard,Why is online banking considered secure?,Requires cash,Uses encryption and authentication,No verification,Slows transactions,B,
387,Stock Market,MCQ,Hard,Why should investors monitor company financial reports?,To ignore market,To make informed decisions,To stop compounding,To reduce taxes,B,
388,Entrepreneurship,MCQ,Hard,What is the risk of launching multiple products at once?,Faster market entry,Resource strain and poor execution,Better branding,Higher revenue,B,
389,Retirement Planning,MCQ,Hard,How does starting retirement contributions early benefit an individual?,Lower interest,More time for compounding,Reduces taxes,Avoids expenses,B,
390,Bonds,MCQ,Hard,Why are corporate bonds riskier than government bonds?,Guaranteed return,Higher default risk,No risk,Stop inflation,B,
391,Personal Finance,MCQ,Hard,Why should young adults track spending habits?,To spend more,To improve financial management,To ignore budgeting,To reduce income,B,
392,Risk Management,MCQ,Hard,How does risk assessment improve financial decisions?,Guarantees profit,Helps identify and mitigate risks,Stops inflation,Increases daily income,B,
393,Interest,MCQ,Hard,How does compounding affect long term investments?,Reduces returns,Grows wealth faster,Rate decreases,Inflation drops,B,
394,Loans & Credit,MCQ,Hard,Why is it important to read all loan terms?,To avoid hidden fees and high interest,To increase borrowing,To stop repayments,To reduce paperwork,A,
395,Inflation,MCQ,Hard,How does high inflation affect savers?,Value increases,Value declines,No effect,Doubles,B,
396,Financial Technology,MCQ,Hard,How do digital wallets enhance payment security?,Sharing passwords,Using encrypted authentication,Ignoring alerts,Using weak networks,B,
397,Stock Market,MCQ,Hard,Why is analyzing market trends important for investors?,To ignore market,To make informed investment decisions,To stop compounding,To reduce taxes,B,
398,Entrepreneurship,MCQ,Hard,What is the risk of launching a business without capital planning?,Higher revenue,Running out of funds,Strong brand,Faster market entry,B,
399,Retirement Planning,MCQ,Hard,Why should retirement plans be reviewed regularly?,To increase spending,To adjust contributions and investments,To ignore savings,To reduce taxes,B,
400,Bonds,MCQ,Hard,Why should investors consider bond ratings before investing?,High risk is best,Ratings indicate credit quality and default risk,No risk,Stop inflation,B,
401,Risk Management,MCQ,Hard,How does insurance protect against unexpected financial losses?,Guarantees profits,Transfers risk to insurer,Stops inflation,Increases income,B,
402,Interest,MCQ,Hard,How does compound interest benefit long term investments?,Principal reduces,Interest reinvestment grows wealth,Rate decreases,Inflation drops,B,
403,Inflation,MCQ,Hard,How does persistent inflation affect bank savings?,Value increases,Real value declines,No effect,Doubles,B,
404,Financial Technology,MCQ,Hard,How do fintech apps improve financial management?,Slow payments,Track expenses and payments easily,Require cash only,Increase paperwork,B,
405,Stock Market,MCQ,Hard,Why should investors diversify across sectors?,Concentrates risk,Reduces sector-specific risk,Guarantees profit,Stops inflation,B,
406,Entrepreneurship,MCQ,Hard,What is the risk of expanding a business too fast without planning?,Higher revenue,Operational failure,Strong brand,Faster market entry,B,
407,Retirement Planning,MCQ,Hard,Why should retirement savings start early?,To spend all money,To accumulate funds for future,To ignore savings,To reduce taxes,B,
408,Bonds,MCQ,Hard,Why are corporate bonds riskier than government bonds?,Guaranteed return,Higher default risk,No risk,Stop inflation,B,
409,Risk Management,MCQ,Hard,How does diversification reduce investment risk?,Concentrates assets,Spreads investments across sectors,Stops interest,Reduces taxes,B,
410,Interest,MCQ,Hard,Why does reinvesting interest increase total returns?,Reduces returns,Compounding grows total returns,Stops growth,Lowers inflation,B,
411,Inflation,MCQ,Hard,How does high inflation affect purchasing power?,Increases,Declines,No change,Doubles,B,
